Comunidades autónomas;Tipo de dato;Periodo;Total
09 Cataluña;Tasa de variación acumulada;2019M10;0.72
09 Cataluña;Tasa de variación acumulada;2019M09;0.63
09 Cataluña;Tasa de variación acumulada;2019M08;0.68
09 Cataluña;Tasa de variación acumulada;2019M07;1.51
09 Cataluña;Tasa de variación acumulada;2019M06;2.52
09 Cataluña;Tasa de variación acumulada;2019M05;2.61
09 Cataluña;Tasa de variación acumulada;2019M04;4.83
09 Cataluña;Tasa de variación acumulada;2019M03;3.99
09 Cataluña;Tasa de variación acumulada;2019M02;3.19
09 Cataluña;Tasa de variación acumulada;2019M01;5.26
09 Cataluña;Tasa de variación acumulada;2018M12;0.41
09 Cataluña;Tasa de variación acumulada;2018M11;-0.38
09 Cataluña;Tasa de variación acumulada;2018M10;-0.70
09 Cataluña;Tasa de variación acumulada;2018M09;-1.83
09 Cataluña;Tasa de variación acumulada;2018M08;-2.16
09 Cataluña;Tasa de variación acumulada;2018M07;-1.45
09 Cataluña;Tasa de variación acumulada;2018M06;-0.39
09 Cataluña;Tasa de variación acumulada;2018M05;-1.68
09 Cataluña;Tasa de variación acumulada;2018M04;-1.61
09 Cataluña;Tasa de variación acumulada;2018M03;3.60
09 Cataluña;Tasa de variación acumulada;2018M02;2.46
09 Cataluña;Tasa de variación acumulada;2018M01;2.20
09 Cataluña;Tasa de variación acumulada;2017M12;5.40
09 Cataluña;Tasa de variación acumulada;2017M11;6.48
09 Cataluña;Tasa de variación acumulada;2017M10;7.06
09 Cataluña;Tasa de variación acumulada;2017M09;8.26
09 Cataluña;Tasa de variación acumulada;2017M08;8.52
09 Cataluña;Tasa de variación acumulada;2017M07;9.95
09 Cataluña;Tasa de variación acumulada;2017M06;10.92
09 Cataluña;Tasa de variación acumulada;2017M05;11.36
09 Cataluña;Tasa de variación acumulada;2017M04;8.95
09 Cataluña;Tasa de variación acumulada;2017M03;4.10
09 Cataluña;Tasa de variación acumulada;2017M02;2.18
09 Cataluña;Tasa de variación acumulada;2017M01;-2.27
09 Cataluña;Tasa de variación acumulada;2016M12;4.37
09 Cataluña;Tasa de variación acumulada;2016M11;4.21
09 Cataluña;Tasa de variación acumulada;2016M10;4.61
09 Cataluña;Tasa de variación acumulada;2016M09;4.82
09 Cataluña;Tasa de variación acumulada;2016M08;5.06
09 Cataluña;Tasa de variación acumulada;2016M07;5.19
09 Cataluña;Tasa de variación acumulada;2016M06;5.70
09 Cataluña;Tasa de variación acumulada;2016M05;4.93
09 Cataluña;Tasa de variación acumulada;2016M04;7.07
09 Cataluña;Tasa de variación acumulada;2016M03;9.23
09 Cataluña;Tasa de variación acumulada;2016M02;13.51
09 Cataluña;Tasa de variación acumulada;2016M01;15.72
09 Cataluña;Tasa de variación acumulada;2015M12;
09 Cataluña;Tasa de variación acumulada;2015M11;
09 Cataluña;Tasa de variación acumulada;2015M10;
10 Comunitat Valenciana;Dato base;2020M03;253718.00
10 Comunitat Valenciana;Dato base;2020M02;528440.00
10 Comunitat Valenciana;Dato base;2020M01;434205.00
10 Comunitat Valenciana;Dato base;2019M12;456596.00
10 Comunitat Valenciana;Dato base;2019M11;545604.00
10 Comunitat Valenciana;Dato base;2019M10;875329.00
10 Comunitat Valenciana;Dato base;2019M09;1023299.00
10 Comunitat Valenciana;Dato base;2019M08;1271169.00
10 Comunitat Valenciana;Dato base;2019M07;1247582.00
10 Comunitat Valenciana;Dato base;2019M06;935806.00
10 Comunitat Valenciana;Dato base;2019M05;866907.00
10 Comunitat Valenciana;Dato base;2019M04;829363.00
10 Comunitat Valenciana;Dato base;2019M03;648462.00
10 Comunitat Valenciana;Dato base;2019M02;459309.00
10 Comunitat Valenciana;Dato base;2019M01;413553.00
10 Comunitat Valenciana;Dato base;2018M12;427830.00
10 Comunitat Valenciana;Dato base;2018M11;497041.00
10 Comunitat Valenciana;Dato base;2018M10;861013.00
10 Comunitat Valenciana;Dato base;2018M09;1005841.00
10 Comunitat Valenciana;Dato base;2018M08;1175555.00
10 Comunitat Valenciana;Dato base;2018M07;1132280.00
10 Comunitat Valenciana;Dato base;2018M06;901232.00
10 Comunitat Valenciana;Dato base;2018M05;910651.00
10 Comunitat Valenciana;Dato base;2018M04;769612.00
10 Comunitat Valenciana;Dato base;2018M03;625460.00
10 Comunitat Valenciana;Dato base;2018M02;449519.00
10 Comunitat Valenciana;Dato base;2018M01;450874.00
10 Comunitat Valenciana;Dato base;2017M12;400590.00
10 Comunitat Valenciana;Dato base;2017M11;452023.00
10 Comunitat Valenciana;Dato base;2017M10;812655.00
10 Comunitat Valenciana;Dato base;2017M09;982638.00
10 Comunitat Valenciana;Dato base;2017M08;1158902.00
10 Comunitat Valenciana;Dato base;2017M07;1217502.00
10 Comunitat Valenciana;Dato base;2017M06;873923.00
10 Comunitat Valenciana;Dato base;2017M05;918843.00
10 Comunitat Valenciana;Dato base;2017M04;749885.00
10 Comunitat Valenciana;Dato base;2017M03;526701.00
10 Comunitat Valenciana;Dato base;2017M02;429384.00
10 Comunitat Valenciana;Dato base;2017M01;402914.00
10 Comunitat Valenciana;Dato base;2016M12;366649.00
10 Comunitat Valenciana;Dato base;2016M11;377912.00
10 Comunitat Valenciana;Dato base;2016M10;761381.00
10 Comunitat Valenciana;Dato base;2016M09;779057.00
10 Comunitat Valenciana;Dato base;2016M08;1117241.00
10 Comunitat Valenciana;Dato base;2016M07;1040949.00
10 Comunitat Valenciana;Dato base;2016M06;729855.00
10 Comunitat Valenciana;Dato base;2016M05;767289.00
10 Comunitat Valenciana;Dato base;2016M04;643239.00
10 Comunitat Valenciana;Dato base;2016M03;480476.00
10 Comunitat Valenciana;Dato base;2016M02;349586.00
10 Comunitat Valenciana;Dato base;2016M01;318136.00
10 Comunitat Valenciana;Dato base;2015M12;320260.00
10 Comunitat Valenciana;Dato base;2015M11;319290.00
10 Comunitat Valenciana;Dato base;2015M10;624144.00
10 Comunitat Valenciana;Tasa de variación anual;2020M03;-60.87
10 Comunitat Valenciana;Tasa de variación anual;2020M02;15.05
10 Comunitat Valenciana;Tasa de variación anual;2020M01;4.99
10 Comunitat Valenciana;Tasa de variación anual;2019M12;6.72
10 Comunitat Valenciana;Tasa de variación anual;2019M11;9.77
10 Comunitat Valenciana;Tasa de variación anual;2019M10;1.66
10 Comunitat Valenciana;Tasa de variación anual;2019M09;1.74
10 Comunitat Valenciana;Tasa de variación anual;2019M08;8.13
10 Comunitat Valenciana;Tasa de variación anual;2019M07;10.18
10 Comunitat Valenciana;Tasa de variación anual;2019M06;3.84
10 Comunitat Valenciana;Tasa de variación anual;2019M05;-4.80
10 Comunitat Valenciana;Tasa de variación anual;2019M04;7.76
10 Comunitat Valenciana;Tasa de variación anual;2019M03;3.68
10 Comunitat Valenciana;Tasa de variación anual;2019M02;2.18
10 Comunitat Valenciana;Tasa de variación anual;2019M01;-8.28
10 Comunitat Valenciana;Tasa de variación anual;2018M12;6.80
10 Comunitat Valenciana;Tasa de variación anual;2018M11;9.96
10 Comunitat Valenciana;Tasa de variación anual;2018M10;5.95
10 Comunitat Valenciana;Tasa de variación anual;2018M09;2.36
10 Comunitat Valenciana;Tasa de variación anual;2018M08;1.44
10 Comunitat Valenciana;Tasa de variación anual;2018M07;-7.00
10 Comunitat Valenciana;Tasa de variación anual;2018M06;3.12
10 Comunitat Valenciana;Tasa de variación anual;2018M05;-0.89
10 Comunitat Valenciana;Tasa de variación anual;2018M04;2.63
10 Comunitat Valenciana;Tasa de variación anual;2018M03;18.75
10 Comunitat Valenciana;Tasa de variación anual;2018M02;4.69
10 Comunitat Valenciana;Tasa de variación anual;2018M01;11.90
10 Comunitat Valenciana;Tasa de variación anual;2017M12;9.26
10 Comunitat Valenciana;Tasa de variación anual;2017M11;19.61
10 Comunitat Valenciana;Tasa de variación anual;2017M10;6.73
10 Comunitat Valenciana;Tasa de variación anual;2017M09;26.13
10 Comunitat Valenciana;Tasa de variación anual;2017M08;3.73
10 Comunitat Valenciana;Tasa de variación anual;2017M07;16.96
10 Comunitat Valenciana;Tasa de variación anual;2017M06;19.74
10 Comunitat Valenciana;Tasa de variación anual;2017M05;19.75
10 Comunitat Valenciana;Tasa de variación anual;2017M04;16.58
10 Comunitat Valenciana;Tasa de variación anual;2017M03;9.62
10 Comunitat Valenciana;Tasa de variación anual;2017M02;22.83
10 Comunitat Valenciana;Tasa de variación anual;2017M01;26.65
10 Comunitat Valenciana;Tasa de variación anual;2016M12;14.49
10 Comunitat Valenciana;Tasa de variación anual;2016M11;18.36
10 Comunitat Valenciana;Tasa de variación anual;2016M10;21.99
10 Comunitat Valenciana;Tasa de variación anual;2016M09;15.64
10 Comunitat Valenciana;Tasa de variación anual;2016M08;11.52
10 Comunitat Valenciana;Tasa de variación anual;2016M07;15.37
10 Comunitat Valenciana;Tasa de variación anual;2016M06;15.33
10 Comunitat Valenciana;Tasa de variación anual;2016M05;21.24
10 Comunitat Valenciana;Tasa de variación anual;2016M04;16.42
10 Comunitat Valenciana;Tasa de variación anual;2016M03;25.33
10 Comunitat Valenciana;Tasa de variación anual;2016M02;27.48
10 Comunitat Valenciana;Tasa de variación anual;2016M01;24.32
10 Comunitat Valenciana;Tasa de variación anual;2015M12;16.82
10 Comunitat Valenciana;Tasa de variación anual;2015M11;9.52
10 Comunitat Valenciana;Tasa de variación anual;2015M10;4.32
10 Comunitat Valenciana;Acumulado en lo que va de año;2020M03;1216363.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2020M02;962645.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2020M01;434205.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2019M12;9566566.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2019M11;9109970.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2019M10;8564366.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2019M09;7689037.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2019M08;6665738.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2019M07;5394569.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2019M06;4146987.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2019M05;3211181.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2019M04;2344275.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2019M03;1521324.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2019M02;872862.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2019M01;413553.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2018M12;9206908.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2018M11;8779077.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2018M10;8282037.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2018M09;7421024.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2018M08;6415183.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2018M07;5239628.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2018M06;4107348.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2018M05;3206116.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2018M04;2295465.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2018M03;1525853.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2018M02;900393.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2018M01;450874.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2017M12;8925959.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2017M11;8525368.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2017M10;8073345.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2017M09;7260690.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2017M08;6278052.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2017M07;5119150.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2017M06;3901649.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2017M05;3027726.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2017M04;2108883.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2017M03;1358998.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2017M02;832297.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2017M01;402914.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2016M12;7731770.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2016M11;7365121.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2016M10;6987209.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2016M09;6225828.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2016M08;5446770.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2016M07;4329529.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2016M06;3288580.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2016M05;2558725.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2016M04;1791436.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2016M03;1148197.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2016M02;667722.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2016M01;318136.00
10 Comunitat Valenciana;Acumulado en lo que va de año;2015M12;
10 Comunitat Valenciana;Acumulado en lo que va de año;2015M11;
10 Comunitat Valenciana;Acumulado en lo que va de año;2015M10;
10 Comunitat Valenciana;Tasa de variación acumulada;2020M03;-20.05
10 Comunitat Valenciana;Tasa de variación acumulada;2020M02;10.29
10 Comunitat Valenciana;Tasa de variación acumulada;2020M01;4.99
10 Comunitat Valenciana;Tasa de variación acumulada;2019M12;3.91
10 Comunitat Valenciana;Tasa de variación acumulada;2019M11;3.77
10 Comunitat Valenciana;Tasa de variación acumulada;2019M10;3.41
10 Comunitat Valenciana;Tasa de variación acumulada;2019M09;3.61
10 Comunitat Valenciana;Tasa de variación acumulada;2019M08;3.91
10 Comunitat Valenciana;Tasa de variación acumulada;2019M07;2.96
10 Comunitat Valenciana;Tasa de variación acumulada;2019M06;0.97
10 Comunitat Valenciana;Tasa de variación acumulada;2019M05;0.16
10 Comunitat Valenciana;Tasa de variación acumulada;2019M04;2.13
10 Comunitat Valenciana;Tasa de variación acumulada;2019M03;-0.30
10 Comunitat Valenciana;Tasa de variación acumulada;2019M02;-3.06
10 Comunitat Valenciana;Tasa de variación acumulada;2019M01;-8.28
10 Comunitat Valenciana;Tasa de variación acumulada;2018M12;3.15
10 Comunitat Valenciana;Tasa de variación acumulada;2018M11;2.98
10 Comunitat Valenciana;Tasa de variación acumulada;2018M10;2.58
10 Comunitat Valenciana;Tasa de variación acumulada;2018M09;2.21
10 Comunitat Valenciana;Tasa de variación acumulada;2018M08;2.18
10 Comunitat Valenciana;Tasa de variación acumulada;2018M07;2.35
10 Comunitat Valenciana;Tasa de variación acumulada;2018M06;5.27
10 Comunitat Valenciana;Tasa de variación acumulada;2018M05;5.89
10 Comunitat Valenciana;Tasa de variación acumulada;2018M04;8.85
10 Comunitat Valenciana;Tasa de variación acumulada;2018M03;12.28
10 Comunitat Valenciana;Tasa de variación acumulada;2018M02;8.18
10 Comunitat Valenciana;Tasa de variación acumulada;2018M01;11.90
10 Comunitat Valenciana;Tasa de variación acumulada;2017M12;15.45
10 Comunitat Valenciana;Tasa de variación acumulada;2017M11;15.75
10 Comunitat Valenciana;Tasa de variación acumulada;2017M10;15.54
10 Comunitat Valenciana;Tasa de variación acumulada;2017M09;16.62
10 Comunitat Valenciana;Tasa de variación acumulada;2017M08;15.26
10 Comunitat Valenciana;Tasa de variación acumulada;2017M07;18.24
10 Comunitat Valenciana;Tasa de variación acumulada;2017M06;18.64
10 Comunitat Valenciana;Tasa de variación acumulada;2017M05;18.33
10 Comunitat Valenciana;Tasa de variación acumulada;2017M04;17.72
10 Comunitat Valenciana;Tasa de variación acumulada;2017M03;18.36
10 Comunitat Valenciana;Tasa de variación acumulada;2017M02;24.65
10 Comunitat Valenciana;Tasa de variación acumulada;2017M01;26.65
10 Comunitat Valenciana;Tasa de variación acumulada;2016M12;17.63
10 Comunitat Valenciana;Tasa de variación acumulada;2016M11;17.79
10 Comunitat Valenciana;Tasa de variación acumulada;2016M10;17.76
10 Comunitat Valenciana;Tasa de variación acumulada;2016M09;17.26
10 Comunitat Valenciana;Tasa de variación acumulada;2016M08;17.49
10 Comunitat Valenciana;Tasa de variación acumulada;2016M07;19.14
10 Comunitat Valenciana;Tasa de variación acumulada;2016M06;20.38
10 Comunitat Valenciana;Tasa de variación acumulada;2016M05;21.91
10 Comunitat Valenciana;Tasa de variación acumulada;2016M04;22.20
10 Comunitat Valenciana;Tasa de variación acumulada;2016M03;25.69
10 Comunitat Valenciana;Tasa de variación acumulada;2016M02;25.95
10 Comunitat Valenciana;Tasa de variación acumulada;2016M01;24.32
10 Comunitat Valenciana;Tasa de variación acumulada;2015M12;
10 Comunitat Valenciana;Tasa de variación acumulada;2015M11;
10 Comunitat Valenciana;Tasa de variación acumulada;2015M10;
13 Madrid, Comunidad de;Dato base;2020M03;251590.00
13 Madrid, Comunidad de;Dato base;2020M02;518261.00
13 Madrid, Comunidad de;Dato base;2020M01;611422.00
13 Madrid, Comunidad de;Dato base;2019M12;529059.00
13 Madrid, Comunidad de;Dato base;2019M11;665852.00
13 Madrid, Comunidad de;Dato base;2019M10;750773.00
13 Madrid, Comunidad de;Dato base;2019M09;669208.00
13 Madrid, Comunidad de;Dato base;2019M08;541890.00
13 Madrid, Comunidad de;Dato base;2019M07;626996.00
13 Madrid, Comunidad de;Dato base;2019M06;693021.00
13 Madrid, Comunidad de;Dato base;2019M05;753952.00
13 Madrid, Comunidad de;Dato base;2019M04;641086.00
13 Madrid, Comunidad de;Dato base;2019M03;683364.00
13 Madrid, Comunidad de;Dato base;2019M02;499245.00
13 Madrid, Comunidad de;Dato base;2019M01;584339.00
13 Madrid, Comunidad de;Dato base;2018M12;526753.00
13 Madrid, Comunidad de;Dato base;2018M11;603691.00
13 Madrid, Comunidad de;Dato base;2018M10;709987.00
13 Madrid, Comunidad de;Dato base;2018M09;697128.00
13 Madrid, Comunidad de;Dato base;2018M08;507079.00
13 Madrid, Comunidad de;Dato base;2018M07;619516.00
13 Madrid, Comunidad de;Dato base;2018M06;603147.00
13 Madrid, Comunidad de;Dato base;2018M05;659045.00
13 Madrid, Comunidad de;Dato base;2018M04;631303.00
13 Madrid, Comunidad de;Dato base;2018M03;560178.00
13 Madrid, Comunidad de;Dato base;2018M02;485810.00
13 Madrid, Comunidad de;Dato base;2018M01;536137.00
13 Madrid, Comunidad de;Dato base;2017M12;476155.00
13 Madrid, Comunidad de;Dato base;2017M11;534430.00
13 Madrid, Comunidad de;Dato base;2017M10;628904.00
13 Madrid, Comunidad de;Dato base;2017M09;639120.00
13 Madrid, Comunidad de;Dato base;2017M08;530335.00
13 Madrid, Comunidad de;Dato base;2017M07;579523.00
13 Madrid, Comunidad de;Dato base;2017M06;594801.00
13 Madrid, Comunidad de;Dato base;2017M05;624915.00
13 Madrid, Comunidad de;Dato base;2017M04;672738.00
13 Madrid, Comunidad de;Dato base;2017M03;478054.00
13 Madrid, Comunidad de;Dato base;2017M02;450927.00
13 Madrid, Comunidad de;Dato base;2017M01;489884.00
13 Madrid, Comunidad de;Dato base;2016M12;431820.00
13 Madrid, Comunidad de;Dato base;2016M11;454904.00
13 Madrid, Comunidad de;Dato base;2016M10;584304.00
13 Madrid, Comunidad de;Dato base;2016M09;581127.00
13 Madrid, Comunidad de;Dato base;2016M08;491071.00
13 Madrid, Comunidad de;Dato base;2016M07;514073.00
13 Madrid, Comunidad de;Dato base;2016M06;455275.00
13 Madrid, Comunidad de;Dato base;2016M05;559893.00
13 Madrid, Comunidad de;Dato base;2016M04;600945.00
13 Madrid, Comunidad de;Dato base;2016M03;379512.00
13 Madrid, Comunidad de;Dato base;2016M02;332794.00
13 Madrid, Comunidad de;Dato base;2016M01;397420.00
13 Madrid, Comunidad de;Dato base;2015M12;332461.00
13 Madrid, Comunidad de;Dato base;2015M11;371205.00
13 Madrid, Comunidad de;Dato base;2015M10;562247.00
13 Madrid, Comunidad de;Tasa de variación anual;2020M03;-63.18
13 Madrid, Comunidad de;Tasa de variación anual;2020M02;3.81
13 Madrid, Comunidad de;Tasa de variación anual;2020M01;4.63
13 Madrid, Comunidad de;Tasa de variación anual;2019M12;0.44
13 Madrid, Comunidad de;Tasa de variación anual;2019M11;10.30
13 Madrid, Comunidad de;Tasa de variación anual;2019M10;5.74
13 Madrid, Comunidad de;Tasa de variación anual;2019M09;-4.01
13 Madrid, Comunidad de;Tasa de variación anual;2019M08;6.87
13 Madrid, Comunidad de;Tasa de variación anual;2019M07;1.21
13 Madrid, Comunidad de;Tasa de variación anual;2019M06;14.90
13 Madrid, Comunidad de;Tasa de variación anual;2019M05;14.40
13 Madrid, Comunidad de;Tasa de variación anual;2019M04;1.55
13 Madrid, Comunidad de;Tasa de variación anual;2019M03;21.99
13 Madrid, Comunidad de;Tasa de variación anual;2019M02;2.77
13 Madrid, Comunidad de;Tasa de variación anual;2019M01;8.99
13 Madrid, Comunidad de;Tasa de variación anual;2018M12;10.63
13 Madrid, Comunidad de;Tasa de variación anual;2018M11;12.96
13 Madrid, Comunidad de;Tasa de variación anual;2018M10;12.89
13 Madrid, Comunidad de;Tasa de variación anual;2018M09;9.08
13 Madrid, Comunidad de;Tasa de variación anual;2018M08;-4.39
13 Madrid, Comunidad de;Tasa de variación anual;2018M07;6.90
13 Madrid, Comunidad de;Tasa de variación anual;2018M06;1.40
13 Madrid, Comunidad de;Tasa de variación anual;2018M05;5.46
13 Madrid, Comunidad de;Tasa de variación anual;2018M04;-6.16
13 Madrid, Comunidad de;Tasa de variación anual;2018M03;17.18
13 Madrid, Comunidad de;Tasa de variación anual;2018M02;7.74
13 Madrid, Comunidad de;Tasa de variación anual;2018M01;9.44
13 Madrid, Comunidad de;Tasa de variación anual;2017M12;10.27
13 Madrid, Comunidad de;Tasa de variación anual;2017M11;17.48
13 Madrid, Comunidad de;Tasa de variación anual;2017M10;7.63
13 Madrid, Comunidad de;Tasa de variación anual;2017M09;9.98
13 Madrid, Comunidad de;Tasa de variación anual;2017M08;8.00
13 Madrid, Comunidad de;Tasa de variación anual;2017M07;12.73
13 Madrid, Comunidad de;Tasa de variación anual;2017M06;30.65
13 Madrid, Comunidad de;Tasa de variación anual;2017M05;11.61
13 Madrid, Comunidad de;Tasa de variación anual;2017M04;11.95
13 Madrid, Comunidad de;Tasa de variación anual;2017M03;25.97
13 Madrid, Comunidad de;Tasa de variación anual;2017M02;35.50
13 Madrid, Comunidad de;Tasa de variación anual;2017M01;23.27
13 Madrid, Comunidad de;Tasa de variación anual;2016M12;29.89
13 Madrid, Comunidad de;Tasa de variación anual;2016M11;22.55
13 Madrid, Comunidad de;Tasa de variación anual;2016M10;3.92
13 Madrid, Comunidad de;Tasa de variación anual;2016M09;23.50
13 Madrid, Comunidad de;Tasa de variación anual;2016M08;18.25
13 Madrid, Comunidad de;Tasa de variación anual;2016M07;16.99
13 Madrid, Comunidad de;Tasa de variación anual;2016M06;17.87
13 Madrid, Comunidad de;Tasa de variación anual;2016M05;2.75
13 Madrid, Comunidad de;Tasa de variación anual;2016M04;14.64
13 Madrid, Comunidad de;Tasa de variación anual;2016M03;4.01
13 Madrid, Comunidad de;Tasa de variación anual;2016M02;7.29
13 Madrid, Comunidad de;Tasa de variación anual;2016M01;14.05
13 Madrid, Comunidad de;Tasa de variación anual;2015M12;7.94
13 Madrid, Comunidad de;Tasa de variación anual;2015M11;14.04
13 Madrid, Comunidad de;Tasa de variación anual;2015M10;19.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2020M03;1381272.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2020M02;1129682.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2020M01;611422.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M12;7638375.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M11;7109316.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M10;6443464.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M09;5692691.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M08;5023484.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M07;4481594.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M06;3854597.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M05;3161576.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M04;2407624.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M03;1766947.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M02;1083584.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M01;584339.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M12;7139775.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M11;6613021.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M10;6009330.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M09;5299343.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M08;4602215.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M07;4095136.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M06;3475620.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M05;2872473.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M04;2213428.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M03;1582125.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M02;1021947.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M01;536137.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M12;6699785.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M11;6223630.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M10;5689200.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M09;5060296.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M08;4421176.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M07;3890841.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M06;3311318.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M05;2716517.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M04;2091602.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M03;1418864.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M02;940811.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M01;489884.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M12;5783137.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M11;5351317.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M10;4896413.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M09;4312109.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M08;3730982.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M07;3239911.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M06;2725838.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M05;2270564.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M04;1710671.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M03;1109726.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M02;730214.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M01;397420.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2015M12;
13 Madrid, Comunidad de;Acumulado en lo que va de año;2015M11;
13 Madrid, Comunidad de;Acumulado en lo que va de año;2015M10;
13 Madrid, Comunidad de;Tasa de variación acumulada;2020M03;-21.83
13 Madrid, Comunidad de;Tasa de variación acumulada;2020M02;4.25
13 Madrid, Comunidad de;Tasa de variación acumulada;2020M01;4.63
